,document,topic,distr
53,1998\0_main_body.txt,0,"[9.99979580e-01 1.68167138e-06 2.00048799e-06 1.71200985e-06
 1.70099083e-06 2.09113687e-06 2.13528483e-06 2.05489734e-06
 2.15772682e-06 2.05407775e-06 1.80468162e-06 1.02355081e-06]"
54,1998\10_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
55,1998\11_main_body.txt,-1,"[8.62976717e-02 5.53998557e-02 7.86305091e-02 5.41355289e-02
 5.11135682e-02 5.85990277e-02 1.51248391e-01 6.04072768e-02
 6.00916421e-02 7.02241009e-02 5.85013733e-02 4.26859385e-09]"
56,1998\12_main_body.txt,-1,"[0.08103656 0.04000778 0.04667445 0.04105644 0.04093636 0.05350103
 0.04463405 0.05018281 0.05778436 0.04927919 0.04357232 0.06936933]"
57,1998\13_main_body.txt,5,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
58,1998\14_main_body.txt,-1,"[0.06818441 0.04768983 0.04669357 0.04702335 0.0511323  0.06697428
 0.04194682 0.04846811 0.06220574 0.05031158 0.04599032 0.05610022]"
59,1998\15_main_body.txt,-1,"[1.62016420e-01 5.95820142e-02 6.94924522e-02 5.97576750e-02
 5.99548284e-02 7.05660810e-02 8.02410952e-02 6.55223478e-02
 6.93990551e-02 6.99972081e-02 6.08484037e-02 7.81407116e-72]"
60,1998\17_main_body.txt,0,"[0.31347377 0.05615453 0.06819094 0.05179342 0.05282048 0.06553542
 0.0767965  0.05697992 0.0610249  0.070429   0.05457397 0.07222713]"
61,1998\18_main_body.txt,0,"[0.25170464 0.06012409 0.07324545 0.05719251 0.05771496 0.07068698
 0.08453607 0.06378843 0.06756109 0.07466058 0.06023645 0.07854874]"
62,1998\19_main_body.txt,0,"[9.99932479e-01 5.83108055e-06 6.92211664e-06 5.94105589e-06
 5.81578375e-06 6.62904870e-06 8.25508515e-06 6.67382981e-06
 6.71302337e-06 6.82516864e-06 6.17551604e-06 1.73567704e-06]"
63,1998\1_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
64,1998\20_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
65,1998\22_main_body.txt,0,"[9.99999996e-01 5.12615723e-28 6.17274895e-28 5.16628737e-28
 5.05356599e-28 5.80804083e-28 7.43801467e-28 5.84806179e-28
 5.86693922e-28 6.07374115e-28 5.42428895e-28 1.54544564e-28]"
66,1998\23_main_body.txt,0,"[9.99999996e-01 2.95353605e-42 3.46790507e-42 2.82076171e-42
 2.87597587e-42 3.48833730e-42 3.94279478e-42 3.10104466e-42
 3.30959886e-42 3.55412907e-42 2.92673367e-42 1.14842961e-43]"
67,1998\24_main_body.txt,-1,"[8.53254607e-181 7.44694191e-002 6.96893654e-002 8.24283098e-002
 8.66057857e-002 1.07893544e-001 2.57411112e-167 9.83011780e-002
 2.08211282e-001 7.63024139e-002 8.47228659e-002 9.70295363e-183]"
68,1998\25_main_body.txt,0,"[9.99999996e-01 4.34957853e-12 5.07611994e-12 4.52823420e-12
 4.38818268e-12 4.92270055e-12 5.82631202e-12 5.22171928e-12
 5.13807497e-12 5.00524835e-12 4.70407336e-12 1.26395657e-12]"
69,1998\26_main_body.txt,0,"[0.24875466 0.05308597 0.06179101 0.05280389 0.05327942 0.06357724
 0.07004432 0.05924549 0.06245844 0.06290218 0.05445674 0.00063789]"
70,1998\27_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
71,1998\28_main_body.txt,0,"[9.46314157e-01 4.85705495e-12 5.70836057e-12 4.91911089e-12
 4.90402764e-12 5.77208405e-12 6.60607907e-12 5.40665694e-12
 5.72779077e-12 5.72628424e-12 5.00275652e-12 5.35425291e-14]"
72,1998\29_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
73,1998\2_main_body.txt,0,"[9.46173978e-01 4.62073543e-12 5.52895541e-12 4.89947082e-12
 4.69836405e-12 5.41391482e-12 5.95651672e-12 6.12066552e-12
 5.91527016e-12 5.47902804e-12 5.23640450e-12 5.07540332e-14]"
74,1998\30_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
75,1998\31_main_body.txt,0,"[0.94817663 0.00426313 0.00495543 0.00441388 0.00428945 0.0047726
 0.00577957 0.00495745 0.00490537 0.0048712  0.00455644 0.00405886]"
76,1998\32_main_body.txt,0,"[9.99999997e-01 1.42359680e-17 1.69093345e-17 1.46320201e-17
 1.41576941e-17 1.59266978e-17 2.01796983e-17 1.66390251e-17
 1.64314298e-17 1.65339605e-17 1.52507032e-17 8.48762221e-18]"
77,1998\33_main_body.txt,0,"[9.97709352e-01 1.88203584e-04 2.20054912e-04 1.94080899e-04
 1.88632884e-04 2.10597000e-04 2.59240314e-04 2.17691009e-04
 2.15838347e-04 2.16009320e-04 2.00612428e-04 1.79684306e-04]"
78,1998\34_main_body.txt,0,"[6.30361039e-01 2.06289434e-02 2.40633042e-02 2.06574137e-02
 2.05006573e-02 2.35566579e-02 2.82417382e-02 2.30694160e-02
 2.35206763e-02 2.40109520e-02 2.13845084e-02 2.20167331e-04]"
