,document,topic,distr
85,1998\41_main_body.txt,8,"[3.2368544e-01 1.1259137e-02 8.8481493e-02 4.1853334e-03 3.0063663e-03
 1.6924074e-01 1.2379155e-03 8.3117187e-03 3.2427493e-01 5.8948361e-05
 1.8273991e-03 2.3638291e-02 2.4817258e-02 1.5975006e-02]"
86,1998\42_main_body.txt,1,"[3.3562507e-02 4.3884566e-01 1.0412520e-01 9.0464986e-05 1.9992763e-02
 5.0750855e-02 1.0041614e-02 3.4467161e-02 1.9006695e-01 1.8997646e-03
 9.1369646e-03 9.1369646e-03 9.7792648e-02 9.0464986e-05]"
87,1998\43_main_body.txt,2,"[3.3706017e-03 6.3383751e-02 4.2181846e-01 3.3706017e-03 8.2209801e-05
 8.2209801e-05 8.2209801e-05 8.2209801e-05 2.7795133e-01 3.3706017e-03
 1.4057876e-02 3.3706017e-03 1.3235778e-02 1.9574153e-01]"
88,1998\44_main_body.txt,2,"[6.7870234e-05 5.8436267e-02 3.5027826e-01 6.7870234e-05 6.7870234e-05
 6.7870234e-05 7.4657256e-04 6.7870234e-05 2.2607574e-01 8.6941771e-02
 6.7870234e-05 6.7870234e-05 2.9930770e-02 2.4711552e-01]"
89,1998\45_main_body.txt,8,"[1.2674871e-02 3.4237929e-02 3.8445354e-02 5.2592826e-05 2.6822342e-03
 1.8307564e-01 5.2592826e-05 5.2592826e-05 4.5550644e-01 5.7852111e-04
 5.7852111e-04 5.2592826e-05 5.2592826e-05 2.7195749e-01]"
90,1998\46_main_body.txt,8,"[1.6885310e-01 3.2362305e-02 9.6025862e-02 4.8229962e-05 4.8229962e-05
 1.9730878e-01 1.4999518e-02 2.4597282e-03 3.2801196e-01 3.9114498e-02
 1.8375615e-02 5.8358256e-03 4.4419795e-02 5.2136589e-02]"
91,1998\47_main_body.txt,8,"[2.35261947e-01 6.07754955e-05 1.13103196e-01 3.09955026e-03
 6.07754955e-05 2.15206027e-01 6.07754955e-05 6.07754955e-05
 3.25209647e-01 6.07754955e-05 7.23836124e-02 6.07754955e-05
 3.53105627e-02 6.07754955e-05]"
92,1998\48_main_body.txt,8,"[5.7623602e-05 5.7623602e-05 3.6360491e-02 5.7623602e-05 5.7623602e-05
 5.0766394e-02 5.7623602e-05 2.3625677e-03 5.1175517e-01 5.7623602e-05
 5.7623602e-05 5.7623602e-05 5.7623602e-05 3.9823669e-01]"
93,1998\4_main_body.txt,1,"[4.2419333e-02 5.9243798e-01 7.9170302e-02 3.3075869e-02 1.3766040e-02
 1.0720070e-01 6.2289771e-05 2.6846891e-02 3.1767783e-03 1.3766040e-02
 6.2289771e-05 6.2289771e-05 4.4288028e-02 4.3665130e-02]"
94,1998\50_main_body.txt,1,"[1.4940868e-02 2.6907104e-01 8.8516749e-02 4.5138579e-05 4.5138579e-05
 1.8240499e-01 4.5138579e-05 2.0808883e-02 2.4695314e-01 1.7649183e-02
 4.5183714e-02 9.9756261e-03 7.7186967e-03 9.6641697e-02]"
